"Mobile Bridge","Mobile Bridge"
"General Settings","Общие Настройки"
"Access Settings","Настройки доступа"
"Login","Логин"
"Password","Пароль"
"Enabled","Активное"
"URL in Your mobile application should looks like:","URL в мобильном додатке должно иметь следующий вид:"
"Login for accessing Mobile Assistant Connector from Your mobile application.","Логин для доступа к Mobile Assistant Connector с Вашего мобильного приложения:"
"Password for accessing Mobile Assistant Connector from Your mobile application. Default password is '1'. Please change it to your own one.","Пароль для доступа к Mobile Assistant Connector с Вашего мобильного приложения. По-умолчанию установлен '1 '. Пожалуйста, измените его по своему."
"Default password is '1'. Please change it becouse of security reasons","По-умолчанию установлен '1 '. Пожалуйста, измените его по соображениям безопасности."
"Login field cannot be empty.  Please specify Login.","Логин не может быть пустым. Пожалуйста, укажите логин."
"Password field cannot be empty.  Please specify password.","Пароль не может быть пустым. Пожалуйста, укажите пароль."
"Can not get configuration value","Невозможно считать конфигурации значение"
"Registration ID cannot be empty","Registration ID не может быть пустым!"
"An error occurred!","Произошла ошибка!"
"Cannot create an invoice without products!","Невозможно создать инвойс без продуктов!"
"Cannot create an invoice!","Невозможно создать инвойс!"
"Empty tracking number!","Пустой tracking number!"
"Current order cannot be shipped!","Текущий заказ не может быть отправлено!"
"Current order cannot be canceled!","Неможлиово отменить текущий заказ!"
"Current order cannot be holded!","Невозможно задержать текущий заказ!"
"Current order cannot be unholded!","Невозможно восстановить текущий заказ!"
"Current tracking number was not found","Текущий tracking number не найдено!"
"Current order does not have shipments!","Текущий заказ не имеет отправлений!"
"No order was found!","Заказ не найдено!"
"Action is not set!","Действие не указано!"
"Order id cannot be empty!","Order id не может быть пустым!"
