store,websites,attribute_set,type,category_ids,sku,has_options,exclude_from_supply_needs,name,image,small_image,thumbnail,url_key,url_path,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,search_priority,categories_text,deal_start_time,deal_stop_time,price,special_price,cost,weight,price_unit,price_unit_origin,market_price,status,tax_class_id,visibility,enable_googlecheckout,links_exist,inchoo_featured_product,landing_page,product_unit,tilbud,netpris,calculated_unit,weight_unit,ordered_qty,reserved_qty,has_deal,special_from_date,special_to_date,description,short_description,meta_keyword,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_increments,enable_qty_increments,stock_ordered_qty,stock_reserved_qty,stock_ordered_qty_for_valid_orders,shelf_location,is_favorite_warehouse,ideal_stock_level,use_config_ideal_stock_level,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,meta_title,meta_description,custom_design,page_layout,aktuelt,retter,pant_sku,is_recurring,is_imported,show_on_homepage,alphabetAtribute,news_from_date,news_to_date,custom_design_from,custom_design_to,custom_layout_update,num_persons,warehouse,warehouse_location,purch_qty,purch_unit,purch_weight,externalitemid,productunit,productcncode,manufacturer,brand,brand_owner,default_supply_delay,purchase_tax_rate,manual_supply_need_qty,outofstock_period_enabled,manual_supply_need_comments,manual_supply_need_date,outofstock_period_from,outofstock_period_to,product_alcohol,product_excise_tax,upsell_targetrule_position_limit,upsell_targetrule_position_behavior,related_targetrule_position_limit,related_targetrule_position_behavior,price_group,waiting_for_delivery_qty,supply_date
danmark,danmark,todoor,simple,,5050083383717,0,0,Kellogg's Cornflakes,/5/0/5050083383717png,/5/0/5050083383717png,/5/0/5050083383717png,kellogg-s-cornflakes,kellogg-s-cornflakes.html,Block after Info Column,,,,Use config,10000,Kolonial>Morgenmad;Produkter>Fødevarer,,,29.95,,,600,49.92,,,Disabled,DK25,"Catalog, Search",Yes,0,0,NORDISK KELLOGG,Kg,No,No,Gram,Kg,0,0,,,,"Kellogg's Cornflakes indeholder majs, sukker, bygmalt, salt.",Dagligvarer Kolonial Morgenmad,"kellog, kellog's, kellogs, cornflakes, morgenmad, kornflakes",9999,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,0,,0,,1,Kellogg's Cornflakes,2,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danmark,danmark,todoor,simple,,5701029026822,0,0,Amo Pizzamel,/5/7/5701029026822png,/5/7/5701029026822png,/5/7/5701029026822png,amo-pizzamel,amo-pizzamel.html,Block after Info Column,,,,Use config,10000,"Kolonial>Mel, Sukker & Bageartikler;Produkter>Fødevarer",,,19.5,,,1,19.5,,,Disabled,DK25,"Catalog, Search",Yes,0,0,LANTMAENNEN CER,Kg,No,No,Kg,Kg,0,0,,,,"Hvedemel med højt glutenindhold fremstillet af fintmalede hvedekerner frasigtet kim og skaldele, melbehandlingsmiddel E300.",Dagligvarer Kolonial Mel & Brødblandinger,"amo, bage, brødblanding, pizza, mel, pizzabund, færdigblanding",9999,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,0,,0,,1,Amo Pizzamel,2,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danmark,danmark,todoor,simple,,5738001271000,0,0,Kellogg's Special K,/5/7/5738001271000png,/5/7/5738001271000png,/5/7/5738001271000png,kellogg-s-special-k,kellogg-s-special-k.html,Block after Info Column,,,,Use config,10000,Kolonial>Morgenmad;Produkter>Fødevarer,,,33.95,,,500,67.9,,,Disabled,DK25,"Catalog, Search",Yes,0,0,NORDISK KELLOGG,Kg,No,No,Gram,Kg,0,0,,2012-01-17 00:00:00,,Kellogg's Special K,Dagligvarer Kolonial Morgenmad,"kellog, kellog's, kellogs, special, morgenmad, kornflakes, cornflakes",9999,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,0,,0,,1,Kellogg's Special K,2,simple,,,,,,No layout updates,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danmark,danmark,todoor,simple,,7613031631698,0,0,Nestlé Havre Cheerios,/7/6/7613031631698png,/7/6/7613031631698png,/7/6/7613031631698png,nestle-havre-cheerios,nestle-havre-cheerios.html,Block after Info Column,,,,Use config,10000,Kolonial>Morgenmad;Produkter>Fødevarer,,,29.95,,,375,79.87,,,Disabled,DK25,"Catalog, Search",Yes,0,0,NESTLE DANMARK,Kg,No,No,Gram,Kg,0,0,,,,"Fuldkornshavre (92 %), sukker, hvedestivelse, mørk sirup, salt, surhedsregulerende middel (trikaliumfosfat)) og antioxidationsmiddel (tocopheroler). Kan indeholde spor af nødder, jordnødder og mælk.",Dagligvarer Kolonial Morgenmad,"nestle, nestlé, havre, cheerios, morgenmad, fuldkorn",9999,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,0,,0,,1,Nestlé Havre Cheerios,2,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danmark,danmark,todoor,simple,,7622300654702,0,0,Lu Tuc Garlic & Herbs,/7/6/7622300654702png,/7/6/7622300654702png,/7/6/7622300654702png,lu-tuc-garlic-herbs,lu-tuc-garlic-herbs.html,Block after Info Column,,,,Use config,10000,Brød & Andet>Kiks;Produkter>Fødevarer,,,9.75,,,100,97.5,,,Disabled,DK25,"Catalog, Search",Yes,0,0,KRAFT FOODS DAN,Kg,No,No,Gram,Kg,0,0,,,,Lu Tuc Garlic & Herbs.,Dagligvarer Brød & Kager Kiks mm.,"lu, tuc, garlic, herbs, kiks, snack",9999,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,0,,0,,1,Lu Tuc Garlic & Herbs,2,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danmark,danmark,todoor,simple,,7613031252671,0,0,Dolce Gusto Chococino,/7/6/7613031252671png,/7/6/7613031252671png,/7/6/7613031252671png,dolce-gusto-chococino,dolce-gusto-chococino.html,Block after Info Column,,,,Use config,10000,"Kolonial>Kaffe, The & Kakao;Produkter>Fødevarer",,,44.5,,,0,44.5,,,Disabled,DK25,"Catalog, Search",Yes,0,0,NESTLE DANMARK,Kg,No,No,Kg,Kg,0,0,,,,"Dolce Gusto Chococino er en smagfuld blød varm chokolade, lavet på de fineste kakaobønner og afrundet med et udsøgt lag af skummet mælk. Den ultimative nydelse for alle, der elsker smagen af ægte chokolade. 

BEMÆRK: Kapslerne passer udelukkede til Dolce Gusto systemet.","Dagligvarer Kolonial Kaffe, The & Cacao","dolce gusto, chococino, kaffe, instant, kapsel, kapsler, kakao, barista",9999,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,0,,0,,1,Dolce Gusto Chococino,2,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danmark,danmark,todoor,simple,,5702070182505,0,0,Livol D-dråber,/5/7/5702070182505png,/5/7/5702070182505png,/5/7/5702070182505png,livol-d-draber,livol-d-draber.html,Block after Info Column,,,,Use config,10000,Personlig Pleje>Helse;Produkter>PersonligPleje,,,25.5,,,100,255,,,Disabled,DK25,"Catalog, Search",Yes,0,0,AXELLUS A/S,Kg,No,No,Gram,Kg,0,0,,,,"Livol Mono NormalD-dråber er til dit barn fra 2 uger til 2 år. D-vitamin er nødvendig for normal vækst, og udvikling af dit barns knogler. Man bør begynde at give sit barn D-vitamin dråber allerede fra 2 ugers alderen, og frem til barnet er omkring 2 år.

Ingredienser:
Kokosolie, D-vitamin (cholecalciferol).",PERSONLIG PLEJE & PARFUME Helse & Vitamin Vitaminer,"livol, D-dråber, vitamin, dråber, kosttilskud",9999,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,0,,0,,1,Livol D-dråber,2,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danmark,danmark,todoor,simple,,7046265603672,0,0,Zovir Creme,/7/0/7046265603672png,/7/0/7046265603672png,/7/0/7046265603672png,zovir-creme,zovir-creme.html,Block after Info Column,,,,Use config,10000,Personlig Pleje>Apotek;Produkter>PersonligPleje,,,44.95,,,2,22475,,,Disabled,DK25,"Catalog, Search",Yes,0,0,GLAXOSMITHKLINE,Kg,No,No,Gram,Kg,0,0,,,,"Zovir anvendes til behandling af infektioner med herpesvirus, fx alvorlige tilfælde af forkølelsessår på læberne, herpes på kønsdelene, helvedesild samt skoldkopper i de få tilfælde, som kræver behandling.

Virker ved at hæmme dannelsen af herpesvirus i herpessmittede celler",PERSONLIG PLEJE & PARFUME Til Baby Babyhudpleje & Hygiejne,"zovir, creme, forkølelsesår, betændelse",9999,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,0,,0,,1,Zovir Creme,2,simple,,,,,,No layout updates,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danmark,danmark,todoor,simple,,5702070111000,0,0,Livol Multi Total Jordbær til Børn,/5/7/5702070111000png,/5/7/5702070111000png,/5/7/5702070111000png,livol-multi-total-jordbaer-til-born,livol-multi-total-jordbaer-til-born.html,Block after Info Column,,,,Use config,10000,Personlig Pleje>Helse;Produkter>PersonligPleje,,,49.95,,,0,49.95,,,Disabled,DK25,"Catalog, Search",Yes,0,0,AXELLUS A/S,Kg,No,No,Kg,Kg,0,0,,,,"Livol Multi Basis Børn sikrer dit barns daglige behov for tilskud af vitaminer og mineraler. Vitamin D understøtter normal vækst og udvikling af knogler hos dit barn. 

Antal: 100 stk.

Ingredienser:
Sukker, Aromastoffer (jordbær, hindbær, tutti frutti), Stabilisator (polyvinylpyrrolidon), Gelatine, Kartoffelstivelse, Syre (citronsyre), Overfladebehandlingsmidler (magnesiumsalte af fedtsyrer, hydroxypropylmethylcellulose), Majsprotein, Mineral (ferrofumarat).",PERSONLIG PLEJE & PARFUME Helse & Vitamin Vitaminer,"livol, multi, total, børn, vitaminer, piller, kosttilskud",9999,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,0,,0,,1,Livol Multi Total Jordbær til Børn,2,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danmark,danmark,todoor,simple,,5702070130117,0,0,Livol Multi Total Voksen Vitaminpiller,/5/7/5702070130117png,/5/7/5702070130117png,/5/7/5702070130117png,livol-multi-total-voksen-vitaminpiller,livol-multi-total-voksen-vitaminpiller.html,Block after Info Column,,,,Use config,10000,Personlig Pleje>Helse;Produkter>PersonligPleje,,,109.95,,,0,109.95,,,Disabled,DK25,"Catalog, Search",Yes,0,0,AXELLUS A/S,Kg,No,No,Kg,Kg,0,0,,,,"Vitaminpillerne er med ekstra B & D-vitamin. 
Livol Multi Total Voksen sikrer dig, at du får de vitaminer og mineraler, du har brug for - hver dag livet igennem.

Ingredienser:
Mineraler (calciumcarbonat, magnesiumhydroxid, ferrofumarat, zinkoxid, cuprisulfat, kaliumjodid, manganosulfat, chromichlorid, natriumselenit, natriummolybdat), vitaminer (retinylacetat, thiaminmononitrat, riboflavin, pyridoxinhydrochlorid, cyanocobalamin, folsyre, nikotinamid, calcium-D-pantothenat, D-biotin, natriumascorbat, cholecalciferol, dl-a-tocopherylacetat), maltodextrin, fyldemiddel (mikrokrystallinsk cellulose), majsstivelse, overfladebehandlingsmidler (magnesiumsalta af fedtsyrer, hydroxypropylmethylcellulose, shellak, tlacum, akaciegummi, carnaubavoks) fugtighedsbevarende middel (glycerol), farvestof (titandioxid), polyfruktose.",PERSONLIG PLEJE & PARFUME Helse & Vitamin Vitaminer,"livol, multi, total, voksen, vitaminpiller, kosttilskud, immunforsvar, vitaminer",9999,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,0,,0,,1,Livol Multi Total Voksen Vitaminpiller,2,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
