"Mobile Bridge","Mobile Bridge"
"General Settings","Загальні налаштування"
"Access Settings","Налаштування доступу"
"Login","Логін"
"Password","Пароль"
"Enabled","Активне"
"URL in Your mobile application should looks like:","URL у Вашій мобільній аплікації повинне мати наступний вигляд:"
"Login for accessing Mobile Assistant Connector from Your mobile application.","Логін для доступу до Mobile Assistant Connector з Вашої мобільної аплікації:"
"Password for accessing Mobile Assistant Connector from Your mobile application. Default password is '1'. Please change it to your own one.","Пароль для доступу до Mobile Assistant Connector з Вашої мобільної аплікації. По-замовчуванню встановлений '1'. Будь ласка, змініть його на власний."
"Default password is '1'. Please change it becouse of security reasons","По-замовчуванню встановлений '1'. Будь ласка, змініть його з міркувань безпеки."
"Login field cannot be empty.  Please specify Login.","Логін не може бути порожнім. Будь ласка, вкажіть логін."
"Password field cannot be empty.  Please specify password.","Пароль не може бути порожнім. Будь ласка, вкажіть пароль."
"Cannot get configuration value","Не вдається зчитати конфігураційне значення!"
"Registration ID cannot be empty","Registration ID не може бути порожнім!"
"An error occurred!","Сталась помилка!"
"Cannot create an invoice without products!","Неможливо створити інвойс без продуктів!"
"Cannot create an invoice!","Неможливо створити інвойс!"
"Empty tracking number!","Порожній tracking number!"
"Current order cannot be shipped!","Поточне замовлення не може бути відправлено!"
"Current order cannot be canceled!","Неможливо відміниити поточне замовлення!"
"Current order cannot be holded!","Неможливо затримати поточне замовлення!"
"Current order cannot be unholded!","Неможливо відновити поточне замовлення!"
"Current tracking number was not found","Поточний tracking number не знайдений!"
"Current order does not have shipments!","Поточне замовлення не має відправлень!"
"No order was found!","Замовлення не знайдено!"
"Action is not set!","Дія не передана!"
"Order id cannot be empty!","Order id не може бути порожнім!"
